name,category,hq_city,hq_state,state_of_incorporation,country,founded_year,status,website,website_live,description,sources
Kelp Blue,UNKNOWN,,,,US,,UNKNOWN,https://www.kelp.blue/global,,,world_agritech
Kilter Systems,ROBOTICS,,,,Norway,,UNKNOWN,https://kiltersystems.com,,"Agriculture, Hardware, Robotics",growthlist
KiposTech,UNKNOWN,,,,US,,UNKNOWN,https://kipostech.com/,,,world_agritech
Krishi,UNKNOWN,,,,United States,,UNKNOWN,https://krishidiagnostics.com,,"Agriculture, B2B Software, Biotechnology, Healthcare",growthlist
La Terra,UNKNOWN,,,,Japan,,UNKNOWN,https://crystal.farm,,"Agriculture, Consumer Goods, Materials",growthlist
Lahakx,UNKNOWN,Salinas,CA,,US,,UNKNOWN,,,,wgcit
Latitudo40,UNKNOWN,,,,Italy,,UNKNOWN,https://latitudo40.com,,"Artificial Intelligence, Agriculture, Analytics, Data, Environment",growthlist
LiveGrow Bio,UNKNOWN,,,,US,,UNKNOWN,https://www.livegrowbio.com/,,,world_agritech
Living Models,UNKNOWN,,,,France,,UNKNOWN,https://livingmodels.ai,,"Biotechnology, Artificial Intelligence, Agriculture, B2B Software",growthlist
MEQ Probe,UNKNOWN,,,,Australia,,UNKNOWN,https://meqsolutions.com,,"Agriculture, Artificial Intelligence, Analytics, B2B Software, Data, Food and Beverage, Hardware",growthlist
MYCOPHYTO,UNKNOWN,,,,France,,UNKNOWN,https://mycophyto.fr,,"Agriculture, Environment",growthlist
Magoya,UNKNOWN,,,,US,,UNKNOWN,https://www.magoya.com/,,,world_agritech
Map My Crop,UNKNOWN,,,,US,,UNKNOWN,https://worldagritechusa.com/sponsors/map-my-crop,,,world_agritech
MaxEditas,UNKNOWN,,,,US,,UNKNOWN,https://maxeditas.com/,,,world_agritech
McKinsey,UNKNOWN,,,,US,,UNKNOWN,https://worldagritechusa.com/sponsors/mckinsey-co,,,world_agritech
Meiogenix,UNKNOWN,,,,US,,UNKNOWN,https://meiogenix.com/,,,world_agritech
MicroIN,UNKNOWN,,,,US,,UNKNOWN,https://microinbio.com/eng/,,,world_agritech
Micropep Technologies,UNKNOWN,,,,US,,UNKNOWN,https://micro-pep.com/,,,world_agritech
Midvar,UNKNOWN,,,,South Korea,,UNKNOWN,https://midbar.com,,"Agriculture, Biotechnology, Environment, Hardware",growthlist
Moleda BV,UNKNOWN,,,,US,,UNKNOWN,https://worldagritechusa.com/sponsors/moleda,,,world_agritech
Moonrider,UNKNOWN,,,,India,,UNKNOWN,https://moonrider.ai,,"Agriculture, Automotive, EV, Hardware, Manufacturing",growthlist
My Farm Exchange,UNKNOWN,,,,US,,UNKNOWN,https://www.myfarmexchange.com/,,,world_agritech
Mycologics,UNKNOWN,,,,US,,UNKNOWN,https://mycologics.net/,,,world_agritech
NAPIGEN,UNKNOWN,,,,US,,UNKNOWN,https://napigen.com/,,,world_agritech
Nagro,UNKNOWN,,,,Brazil,,UNKNOWN,https://nagro.com.br,,"FinTech, Finance, Agriculture, Analytics, Data",growthlist
Natural Fiber Welding,UNKNOWN,,,,United States,,UNKNOWN,https://nfw.earth,,"Materials, Agriculture, Environment, Fashion, Manufacturing",growthlist
Neuralzome Cybernetics,UNKNOWN,,,,US,,UNKNOWN,https://www.neuralzome.com/,,,world_agritech
"New Ventures Agtech Solutions, LLC  (CIK 0001977698)",UNKNOWN,,,,US,,UNKNOWN,,,"SEC Form D filing: ""agtech""",sec_edgar
Nexus Robotics,ROBOTICS,Salinas,CA,,US,,UNKNOWN,,,,wgcit
Niqo Robotics,ROBOTICS,,,,US,,UNKNOWN,https://niqorobotics.com/,,,world_agritech
NoMaze,UNKNOWN,,,,US,,UNKNOWN,https://www.nomaze.com/,,,world_agritech
Nufarm,UNKNOWN,,,,US,,UNKNOWN,https://nufarm.com/,,,world_agritech
Numanac,UNKNOWN,,,,US,,UNKNOWN,https://www.numanac.ai/,,,world_agritech
OGIVE TECHNOLOGY,ROBOTICS,,CA,,US,,UNKNOWN,,,"CLIMATE-SMART AND SUSTAINABLE AGRICULTURE REQUIRES JUDICIOUS, EFFICIENT USE OF ENERGY-INTENSIVE INPUTS SUCH AS FERTILIZERS AND PESTICIDES. THESE BIOLOGICALLY ACTIVE INPUTS ALSO PRESENT POTENTIAL ADVER",usaspending
Oxrow.ai,UNKNOWN,,,,United States,,UNKNOWN,https://oxrow.ai,,"Analytics, Agriculture, Artificial Intelligence, B2B Software, Data",growthlist
PAGE Technologies,UNKNOWN,,,,US,,UNKNOWN,https://www.pagetechnologies.io/,,,world_agritech
Pago,UNKNOWN,Salinas,CA,,US,,UNKNOWN,,,,wgcit
Paine Schwartz Partners,UNKNOWN,,,,US,,UNKNOWN,https://paineschwartz.com/,,,world_agritech
PepsiCo,UNKNOWN,,,,US,,UNKNOWN,https://www.pepsico.com/,,,world_agritech
Pheno-Inspect,UNKNOWN,,,,Germany,,UNKNOWN,https://phenoinspect.eu,,"Agriculture, Analytics, Artificial Intelligence, B2B Software, Data",growthlist
Phylos,UNKNOWN,,,,United States,,UNKNOWN,https://phylos.bio,,"Agriculture, Biotechnology, Cannabis",growthlist
Picker Agrobotics,ROBOTICS,,,,US,,UNKNOWN,https://www.picker-agrobotics.com/,,,world_agritech
Pixxel,UNKNOWN,,,,US,,UNKNOWN,https://www.pixxel.space/,,,world_agritech
Plant Path,UNKNOWN,,,,United States,,UNKNOWN,https://plantpathco.com,,"Agriculture, Biotechnology, Food and Beverage, Nutrition and Supplements",growthlist
PlantArcBio,UNKNOWN,,,,US,,UNKNOWN,https://plantarcbio.com/,,,world_agritech
PlantBit,UNKNOWN,,,,US,,UNKNOWN,https://www.plantbit.it/,,,world_agritech
PlantSustain,UNKNOWN,,,,US,,UNKNOWN,https://plantsustain.com/,,,world_agritech
Polybee,PRECISION_AG,,,,Singapore,,UNKNOWN,https://polybee.co,,"Agriculture, Analytics, Artificial Intelligence, Drones",growthlist
"Portfolia Food & AgTech Fund, LLC  (CIK 0001879066)",UNKNOWN,,,,US,,UNKNOWN,,,"SEC Form D filing: ""agtech""",sec_edgar
Provision Analytics,UNKNOWN,Salinas,CA,,US,,UNKNOWN,,,,wgcit
Provivi,UNKNOWN,,,,US,,UNKNOWN,https://www.provivi.com/en,,,world_agritech
Quercus Biosolutions,UNKNOWN,,,,US,,UNKNOWN,https://quercusbio.com/,,,world_agritech
R2DIO,UNKNOWN,,,,US,,UNKNOWN,https://r2dio.com/,,,world_agritech
RAS Luxury Oils,UNKNOWN,,,,India,,UNKNOWN,https://rasluxuryoils.com,,"Beauty, Agriculture, Consumer Goods, Retail, Wellness",growthlist
RAYHAWK,UNKNOWN,,,,US,,UNKNOWN,https://www.rayhawk.ca/,,,world_agritech
"REDNOX, INC.",PRECISION_AG,,CA,,US,,UNKNOWN,,,"** AWARDS ISSUED PRIOR TO JANUARY 20, 2025, WERE FUNDED UNDER PREVIOUS ADMINISTRATIONS AND MAY NOT REFLECT THE PRIORITIES AND POLICIES OF THE CURRENT ADMINISTRATION.** NON-TECHNICAL SUMMARY OF THE RED",usaspending
RNAWay,UNKNOWN,,,,US,,UNKNOWN,https://rnaway.com/,,,world_agritech
RUBY BIO INC,AG_BIOCONTROL,,CA,,US,,UNKNOWN,,,"SURFACTANTS ARE A CATEGORY OF CHEMICALS THAT PERFORMS CLEANING, SHELF-LIFE STABILITY, AND ENHANCES TEXTURE. THESE ESSENTIAL CHEMICALS ARE WIDELY USED TO POWER CONSUMER AND HOUSEHOLD PRODUCTS, FROM LAU",usaspending
Renyokako,UNKNOWN,,,,Japan,,UNKNOWN,https://renyokako.com,,"Agriculture, Non Profit",growthlist
Reshape Biotech,UNKNOWN,,,,US,,UNKNOWN,https://www.reshapebiotech.com/,,,world_agritech
Resoloon,UNKNOWN,,,,US,,UNKNOWN,https://resoloon.com,,"Data, Aerospace, Agriculture, Analytics, B2B Software, Environment, Government, Insurance, Security",growthlist
Resurrect Bio,UNKNOWN,,,,United Kingdom,,UNKNOWN,https://resurrect.bio,,"Biotechnology, Agriculture, Artificial Intelligence",growthlist
Rio Fish,UNKNOWN,,,,Kenya,,UNKNOWN,https://riofish.co.ke,,"Agriculture, Food and Beverage",growthlist
RipeLocker,UNKNOWN,,,,United States,,UNKNOWN,https://ripelocker.com,,"Agriculture,Hardware,Logistics,Manufacturing",growthlist
Rowbot Systems,ROBOTICS,,,,United States,,UNKNOWN,https://rowbot.com,,"Agriculture, Data, Hardware, Robotics",growthlist
SOLASTA® Bio,UNKNOWN,,,,US,,UNKNOWN,http://solastabio.com/,,,world_agritech
Sable Fermentation,UNKNOWN,,,,US,,UNKNOWN,https://www.sablefermentation.com/,,,world_agritech
Saga Robotics,ROBOTICS,,,,Norway,,UNKNOWN,https://sagarobotics.com,,"Robotics, Agriculture, Artificial Intelligence, Hardware",growthlist
Saltz,UNKNOWN,,,,Lithuania,,UNKNOWN,https://saltz.app,,"Marketplace, Agriculture, E-commerce, Food and Beverage, Marine, Retail",growthlist
Scanit Technologies,UNKNOWN,,,,US,,UNKNOWN,https://www.scanittech.com/,,,world_agritech
ScreenSYS,UNKNOWN,,,,US,,UNKNOWN,https://www.screensys.net/,,,world_agritech
Secai Marche,UNKNOWN,,,,Japan,,UNKNOWN,https://secai-marche.co.jp,,"Marketplace, Agriculture, B2B Software, E-commerce, Food and Beverage, Logistics",growthlist
Sens Ops,UNKNOWN,,,,US,,UNKNOWN,http://sensops.com/,,,world_agritech
Solaris Suborbital,UNKNOWN,,,,US,,UNKNOWN,https://www.solaris-suborbital.space/,,,world_agritech
Solinftec,UNKNOWN,,,,US,,UNKNOWN,https://www.solinftec.com/en-us/,,,world_agritech
SpaceAgri,UNKNOWN,,,,US,,UNKNOWN,https://spaceagri.com,,"Agriculture, Aerospace, Blockchain, Biotechnology, Cloud Computing, Hardware",growthlist
Stimera Crop Science,BIOTECH,,,,US,,UNKNOWN,https://worldagritechusa.com/sponsors/stimera-crop-science,,,world_agritech
Strawberry Robotics,ROBOTICS,,,,US,,UNKNOWN,https://www.strawberryrobotics.com/sri/,,,world_agritech
Switch Bioworks,UNKNOWN,,,,US,,UNKNOWN,https://www.switchbioworks.com/,,,world_agritech
Sylvan,UNKNOWN,,,,United States,,UNKNOWN,https://sylvan.bio,,"Agriculture, Food and Beverage, Manufacturing",growthlist
Symbrosia,UNKNOWN,,,,United States,,UNKNOWN,https://symbrosia.co,,"Agriculture, Biotechnology, Environment, Marine",growthlist
Syngenta,UNKNOWN,,,,US,,UNKNOWN,https://www.syngenta.com/en,,,world_agritech
T3 BioScience,UNKNOWN,,,,US,,UNKNOWN,https://t3biosci.com/,,,world_agritech
Tavant,UNKNOWN,,,,US,,UNKNOWN,https://tavant.com/,,,world_agritech
Tellia,UNKNOWN,,,,United States,,UNKNOWN,https://tell-ia.com,,"Agriculture, Artificial Intelligence, B2B Software",growthlist
Tenchijin,UNKNOWN,,,,Japan,,UNKNOWN,https://tenchijin.co.jp,,"Aerospace, Agriculture, Analytics, B2B Software, Data, Environment",growthlist
Terraton,UNKNOWN,,,,US,,UNKNOWN,https://terraton.ai/,,,world_agritech
The Mosaic Company,UNKNOWN,,,,US,,UNKNOWN,https://www.mosaicco.com/,,,world_agritech
Tidal Grow Agriscience,UNKNOWN,,,,US,,UNKNOWN,https://www.tidalgrowag.com/,,,world_agritech
TissenBioFarm,UNKNOWN,,,,South Korea,,UNKNOWN,https://tissenbiofarm.com,,"Biotechnology, Agriculture, Food and Beverage",growthlist
Totality Biosciences,UNKNOWN,,,,US,,UNKNOWN,https://www.totalitybiosciences.com/,,,world_agritech
Traction,UNKNOWN,,,,United States,,UNKNOWN,https://tractionag.com,,"Agriculture, Finance, Accounting, B2B Software",growthlist
Treetoscope,UNKNOWN,,,,US,,UNKNOWN,https://www.treetoscope.com/,,,world_agritech
Tropic Biosciences,UNKNOWN,,,,United Kingdom,,UNKNOWN,https://tropic.bio,,"Biotechnology, Agriculture",growthlist
Twogee Biotech,UNKNOWN,,,,Germany,,UNKNOWN,https://twogee-biotech.com,,"Biotechnology, Agriculture, Environment",growthlist
Ubees,UNKNOWN,,,,United States,,UNKNOWN,https://ubees.com,,"Agriculture, Artificial Intelligence, Data, Environment, Hardware",growthlist
Uber AI Solutions,UNKNOWN,,,,US,,UNKNOWN,https://www.uber.com/gb/en/ai-solutions/,,,world_agritech
Ubiquity Sprouting Corporation,UNKNOWN,,,,US,,UNKNOWN,https://www.ubisprout.com/,,,world_agritech
Ukhi,UNKNOWN,,,,United States,,UNKNOWN,https://ukhi.org,,"Materials, Agriculture, Chemicals, Consumer Goods, Environment, Manufacturing",growthlist
UpTerra,UNKNOWN,,,,United States,,UNKNOWN,https://upterra.co,,"Agriculture, Analytics, Artificial Intelligence, B2B Software, Data",growthlist
Upside Robotics,ROBOTICS,,,,United States,,UNKNOWN,https://upsiderobotics.com,,"Agriculture, Artificial Intelligence, Hardware, Robotics",growthlist
"VERDANT ROBOTICS, INC.",PRECISION_AG,,CA,,US,,UNKNOWN,,,"IN THE PROPOSED EFFORT, VERDANT ROBOTICS AND PROFESSOR AARON SMITH WILL DEVELOP AND TEST A NOVEL BIO-ECONOMIC FARM MODEL (BEFM) TO PROVIDE A MECHANISTIC TOOL FOR MODELING THE ECONOMIC AND AGROECOLOGIC",usaspending
"VVF AgTech, Inc.  (CIK 0001956981)",UNKNOWN,,,,US,,UNKNOWN,,,"SEC Form D filing: ""agtech""",sec_edgar
Varaha,UNKNOWN,,,,India,,UNKNOWN,https://varaha.earth,,"Agriculture, Environment",growthlist
Verdant Impact,UNKNOWN,,,,India,,UNKNOWN,https://verdantimpact.com,,"Agriculture, Artificial Intelligence, B2B Software, Biotechnology",growthlist
VertiGenix Holdings (Pty) LTD,UNKNOWN,,,,South Africa,,UNKNOWN,https://vertigenix.com,,"Agriculture,Construction,Environment,Food and Beverage,Hardware",growthlist
Vireo Ag,UNKNOWN,,,,US,,UNKNOWN,https://www.vireoag.com/,,,world_agritech
Visa,UNKNOWN,,,,US,,UNKNOWN,https://corporate.visa.com/en/solutions/agriculture.html,,,world_agritech
VitalTech,ROBOTICS,,,,China,,UNKNOWN,https://vitaltech.cn,,"Robotics, Agriculture, Artificial Intelligence, Hardware",growthlist
"Vujade Ventures Agtech Alpha 1 Fund, LP  (CIK 0001982988)",UNKNOWN,,,,US,,UNKNOWN,,,"SEC Form D filing: ""agtech""",sec_edgar
Wanzhongdao,UNKNOWN,,,,China,,UNKNOWN,https://xiaohongdao.vip,,"Retail, Agriculture, Consumer Goods, E-commerce",growthlist
Weiyuan Synthetic Biotechnology,UNKNOWN,,,,China,,UNKNOWN,https://microcyto.cn,,"Biotechnology, Agriculture, Food and Beverage, Manufacturing, Materials",growthlist
Winterleap,UNKNOWN,,,,US,,UNKNOWN,https://www.winterleap.com/,,,world_agritech
constellr,UNKNOWN,,,,Germany,,UNKNOWN,https://constellr.com,,"Aerospace, Agriculture, B2B Software, Data, Environment, Government, Marine",growthlist
ePlant,UNKNOWN,,,,US,,UNKNOWN,https://www.eplant.com/,,,world_agritech
"iSelect Agtech Fund I, a series of iSelect Rolling Fund, LLC  (CIK 0001964462)",UNKNOWN,,,,US,,UNKNOWN,,,"SEC Form D filing: ""agtech""",sec_edgar
iTrade Network,UNKNOWN,Salinas,CA,,US,,UNKNOWN,,,,wgcit
insideFPV,PRECISION_AG,,,,India,,UNKNOWN,https://insidefpv.com,,"Drones, Agriculture, Media, Security",growthlist
